Program to calculate energy of water
Input NAME of configuration file : 
Number of molecules 100000
Thread 5 evaluated 74231 pairs
Thread 9 evaluated 77445 pairs
Thread 11 evaluated 95816 pairs
Thread 6 evaluated 84330 pairs
Thread 2 evaluated 99985 pairs
Thread 3 evaluated 87999 pairs
Thread 4 evaluated 80822 pairs
Thread 5 evaluated 74230 pairs
Thread 9 evaluated 77444 pairs
Thread 11 evaluated 95815 pairs
Thread 6 evaluated 84329 pairs
Thread 2 evaluated 99984 pairs
Thread 3 evaluated 87998 pairs
Thread 5 evaluated 74229 pairs
Thread 9 evaluated 77443 pairs
Thread 4 evaluated 80821 pairs
Thread 11 evaluated 95814 pairs
Thread 6 evaluated 84328 pairs
Thread 5 evaluated 74228 pairs
Thread 9 evaluated 77442 pairs
Thread 3 evaluated 87997 pairs
Thread 4 evaluated 80820 pairs
Thread 2 evaluated 99983 pairs
Thread 6 evaluated 84327 pairs
Thread 11 evaluated 95813 pairs
Thread 5 evaluated 74227 pairs
Thread 9 evaluated 77441 pairs
Thread 4 evaluated 80819 pairs
Thread 3 evaluated 87996 pairs
Thread 2 evaluated 99982 pairs
Thread 5 evaluated 74226 pairs
Thread 6 evaluated 84326 pairs
Thread 11 evaluated 95812 pairs
Thread 9 evaluated 77440 pairs
Thread 4 evaluated 80818 pairs
Thread 3 evaluated 87995 pairs
Thread 5 evaluated 74225 pairs
Thread 9 evaluated 77439 pairs
Thread 6 evaluated 84325 pairs
Thread 2 evaluated 99981 pairs
Thread 11 evaluated 95811 pairs
Thread 4 evaluated 80817 pairs
Thread 5 evaluated 74224 pairs
Thread 3 evaluated 87994 pairs
Thread 9 evaluated 77438 pairs
Thread 6 evaluated 84324 pairs
Thread 11 evaluated 95810 pairs
Thread 5 evaluated 74223 pairs
Thread 10 evaluated 65341 pairs
Thread 7 evaluated 68181 pairs
Thread 0 evaluated 71145 pairs
Thread 9 evaluated 77437 pairs
Thread 1 evaluated 62619 pairs
Thread 6 evaluated 84323 pairs
Thread 5 evaluated 74222 pairs
Thread 11 evaluated 95809 pairs
Thread 10 evaluated 65340 pairs
Thread 7 evaluated 68180 pairs
Thread 0 evaluated 71144 pairs
Thread 9 evaluated 77436 pairs
Thread 1 evaluated 62618 pairs
Thread 6 evaluated 84322 pairs
Thread 5 evaluated 74221 pairs
Thread 10 evaluated 65339 pairs
Thread 7 evaluated 68179 pairs
Thread 11 evaluated 95808 pairs
Thread 0 evaluated 71143 pairs
Thread 9 evaluated 77435 pairs
Thread 5 evaluated 74220 pairs
Thread 1 evaluated 62617 pairs
Thread 10 evaluated 65338 pairs
Thread 6 evaluated 84321 pairs
Thread 7 evaluated 68178 pairs
Thread 0 evaluated 71142 pairs
Thread 9 evaluated 77434 pairs
Thread 11 evaluated 95807 pairs
Thread 10 evaluated 65337 pairs
Thread 5 evaluated 74219 pairs
Thread 1 evaluated 62616 pairs
Thread 7 evaluated 68177 pairs
Thread 6 evaluated 84320 pairs
Thread 0 evaluated 71141 pairs
Thread 9 evaluated 77433 pairs
Thread 11 evaluated 95806 pairs
Thread 10 evaluated 65336 pairs
Thread 5 evaluated 74218 pairs
Thread 1 evaluated 62615 pairs
Thread 7 evaluated 68176 pairs
Thread 0 evaluated 71140 pairs
Thread 9 evaluated 77432 pairs
Thread 6 evaluated 84319 pairs
Thread 10 evaluated 65335 pairs
Thread 5 evaluated 74217 pairs
Thread 1 evaluated 62614 pairs
Thread 11 evaluated 95805 pairs
Thread 7 evaluated 68175 pairs
Thread 0 evaluated 71139 pairs
Thread 9 evaluated 77431 pairs
Thread 6 evaluated 84318 pairs
Thread 10 evaluated 65334 pairs
Thread 5 evaluated 74216 pairs
Thread 7 evaluated 68174 pairs
Thread 1 evaluated 62613 pairs
Thread 11 evaluated 95804 pairs
Thread 0 evaluated 71138 pairs
Thread 9 evaluated 77430 pairs
Thread 10 evaluated 65333 pairs
Thread 5 evaluated 74215 pairs
Thread 6 evaluated 84317 pairs
Thread 7 evaluated 68173 pairs
Thread 1 evaluated 62612 pairs
Thread 0 evaluated 71137 pairs
Thread 9 evaluated 77429 pairs
Thread 10 evaluated 65332 pairs
Thread 11 evaluated 95803 pairs
Thread 5 evaluated 74214 pairs
Thread 7 evaluated 68172 pairs
Thread 6 evaluated 84316 pairs
Thread 1 evaluated 62611 pairs
Thread 0 evaluated 71136 pairs
Thread 9 evaluated 77428 pairs
Thread 10 evaluated 65331 pairs
Thread 5 evaluated 74213 pairs
Thread 11 evaluated 95802 pairs
Thread 7 evaluated 68171 pairs
Thread 1 evaluated 62610 pairs
Thread 6 evaluated 84315 pairs
Thread 10 evaluated 65330 pairs
Thread 9 evaluated 77427 pairs
Thread 0 evaluated 71135 pairs
Thread 5 evaluated 74212 pairs
Thread 7 evaluated 68170 pairs
Thread 11 evaluated 95801 pairs
Thread 1 evaluated 62609 pairs
Thread 10 evaluated 65329 pairs
Thread 6 evaluated 84314 pairs
Thread 9 evaluated 77426 pairs
Thread 0 evaluated 71134 pairs
Thread 5 evaluated 74211 pairs
Thread 7 evaluated 68169 pairs
Thread 1 evaluated 62608 pairs
Thread 10 evaluated 65328 pairs
Thread 11 evaluated 95800 pairs
Thread 9 evaluated 77425 pairs
Thread 0 evaluated 71133 pairs
Thread 6 evaluated 84313 pairs
Thread 5 evaluated 74210 pairs
Thread 7 evaluated 68168 pairs
Thread 10 evaluated 65327 pairs
Thread 1 evaluated 62607 pairs
Thread 9 evaluated 77424 pairs
Thread 0 evaluated 71132 pairs
Thread 11 evaluated 95799 pairs
Thread 5 evaluated 74209 pairs
Thread 6 evaluated 84312 pairs
Thread 7 evaluated 68167 pairs
Thread 10 evaluated 65326 pairs
Thread 1 evaluated 62606 pairs
Thread 9 evaluated 77423 pairs
Thread 0 evaluated 71131 pairs
Thread 5 evaluated 74208 pairs
Thread 7 evaluated 68166 pairs
Thread 11 evaluated 95798 pairs
Thread 6 evaluated 84311 pairs
Thread 10 evaluated 65325 pairs
Thread 1 evaluated 62605 pairs
Thread 9 evaluated 77422 pairs
Thread 0 evaluated 71130 pairs
Thread 5 evaluated 74207 pairs
Thread 7 evaluated 68165 pairs
Thread 10 evaluated 65324 pairs
Thread 11 evaluated 95797 pairs
Thread 6 evaluated 84310 pairs
Thread 1 evaluated 62604 pairs
Thread 9 evaluated 77421 pairs
Thread 0 evaluated 71129 pairs
Thread 5 evaluated 74206 pairs
Thread 7 evaluated 68164 pairs
Thread 10 evaluated 65323 pairs
Thread 6 evaluated 84309 pairs
Thread 11 evaluated 95796 pairs
Thread 1 evaluated 62603 pairs
Thread 9 evaluated 77420 pairs
Thread 0 evaluated 71128 pairs
Thread 5 evaluated 74205 pairs
Thread 7 evaluated 68163 pairs
Thread 10 evaluated 65322 pairs
Thread 1 evaluated 62602 pairs
Thread 9 evaluated 77419 pairs
Thread 0 evaluated 71127 pairs
Thread 5 evaluated 74204 pairs
Thread 6 evaluated 84308 pairs
Thread 11 evaluated 95795 pairs
Thread 7 evaluated 68162 pairs
Thread 10 evaluated 65321 pairs
Thread 1 evaluated 62601 pairs
Thread 9 evaluated 77418 pairs
Thread 5 evaluated 74203 pairs
Thread 0 evaluated 71126 pairs
Thread 7 evaluated 68161 pairs
Thread 10 evaluated 65320 pairs
Thread 6 evaluated 84307 pairs
Thread 11 evaluated 95794 pairs
Thread 1 evaluated 62600 pairs
Thread 9 evaluated 77417 pairs
Thread 5 evaluated 74202 pairs
Thread 0 evaluated 71125 pairs
Thread 10 evaluated 65319 pairs
Thread 7 evaluated 68160 pairs
Thread 6 evaluated 84306 pairs
Thread 11 evaluated 95793 pairs
Thread 10 evaluated 65318 pairs
Thread 5 evaluated 74201 pairs
Thread 9 evaluated 77416 pairs
Thread 1 evaluated 62599 pairs
Thread 7 evaluated 68159 pairs
Thread 0 evaluated 71124 pairs
Thread 6 evaluated 84305 pairs
Thread 11 evaluated 95792 pairs
Thread 10 evaluated 65317 pairs
Thread 5 evaluated 74200 pairs
Thread 9 evaluated 77415 pairs
Thread 1 evaluated 62598 pairs
Thread 2 evaluated 99980 pairs
Thread 4 evaluated 80816 pairs
Thread 6 evaluated 84304 pairs
Thread 5 evaluated 74199 pairs
Thread 9 evaluated 77414 pairs
Thread 3 evaluated 87993 pairs
Thread 1 evaluated 62597 pairs
Thread 11 evaluated 95791 pairs
Thread 4 evaluated 80815 pairs
Thread 2 evaluated 99979 pairs
Thread 5 evaluated 74198 pairs
Thread 6 evaluated 84303 pairs
Thread 9 evaluated 77413 pairs
Thread 1 evaluated 62596 pairs
Thread 3 evaluated 87992 pairs
Thread 11 evaluated 95790 pairs
Thread 5 evaluated 74197 pairs
Thread 4 evaluated 80814 pairs
Thread 9 evaluated 77412 pairs
Thread 1 evaluated 62595 pairs
Thread 6 evaluated 84302 pairs
Thread 2 evaluated 99978 pairs
Thread 3 evaluated 87991 pairs
Thread 11 evaluated 95789 pairs
Thread 5 evaluated 74196 pairs
Thread 9 evaluated 77411 pairs
Thread 4 evaluated 80813 pairs
Thread 1 evaluated 62594 pairs
Thread 6 evaluated 84301 pairs
Thread 2 evaluated 99977 pairs
Thread 3 evaluated 87990 pairs
Thread 5 evaluated 74195 pairs
Thread 11 evaluated 95788 pairs
Thread 9 evaluated 77410 pairs
Thread 1 evaluated 62593 pairs
Thread 4 evaluated 80812 pairs
Thread 6 evaluated 84300 pairs
Thread 5 evaluated 74194 pairs
Thread 3 evaluated 87989 pairs
Thread 9 evaluated 77409 pairs
Thread 11 evaluated 95787 pairs
Thread 2 evaluated 99976 pairs
Thread 1 evaluated 62592 pairs
Thread 4 evaluated 80811 pairs
Thread 6 evaluated 84299 pairs
Thread 5 evaluated 74193 pairs
Thread 9 evaluated 77408 pairs
Thread 1 evaluated 62591 pairs
Thread 3 evaluated 87988 pairs
Thread 11 evaluated 95786 pairs
Thread 4 evaluated 80810 pairs
Thread 2 evaluated 99975 pairs
Thread 5 evaluated 74192 pairs
Thread 6 evaluated 84298 pairs
Thread 9 evaluated 77407 pairs
Thread 1 evaluated 62590 pairs
Thread 3 evaluated 87987 pairs
Thread 4 evaluated 80809 pairs
Thread 11 evaluated 95785 pairs
Thread 5 evaluated 74191 pairs
Thread 2 evaluated 99974 pairs
Thread 9 evaluated 77406 pairs
Thread 6 evaluated 84297 pairs
Thread 10 evaluated 65316 pairs
Thread 1 evaluated 62589 pairs
Thread 5 evaluated 74190 pairs
Thread 4 evaluated 80808 pairs
Thread 3 evaluated 87986 pairs
Thread 11 evaluated 95784 pairs
Thread 9 evaluated 77405 pairs
Thread 1 evaluated 62588 pairs
Thread 6 evaluated 84296 pairs
Thread 2 evaluated 99973 pairs
Thread 10 evaluated 65315 pairs
Thread 5 evaluated 74189 pairs
Thread 4 evaluated 80807 pairs
Thread 3 evaluated 87985 pairs
Thread 1 evaluated 62587 pairs
Thread 9 evaluated 77404 pairs
Thread 11 evaluated 95783 pairs
Thread 6 evaluated 84295 pairs
Thread 10 evaluated 65314 pairs
Thread 5 evaluated 74188 pairs
Thread 2 evaluated 99972 pairs
Thread 1 evaluated 62586 pairs
Thread 4 evaluated 80806 pairs
Thread 9 evaluated 77403 pairs
Thread 3 evaluated 87984 pairs
Thread 11 evaluated 95782 pairs
Thread 10 evaluated 65313 pairs
Thread 5 evaluated 74187 pairs
Thread 6 evaluated 84294 pairs
Thread 1 evaluated 62585 pairs
Thread 9 evaluated 77402 pairs
Thread 4 evaluated 80805 pairs
Thread 2 evaluated 99971 pairs
Thread 3 evaluated 87983 pairs
Thread 1 evaluated 62584 pairs
Thread 5 evaluated 74186 pairs
Thread 11 evaluated 95781 pairs
Thread 10 evaluated 65312 pairs
Thread 6 evaluated 84293 pairs
Thread 9 evaluated 77401 pairs
Thread 4 evaluated 80804 pairs
Thread 1 evaluated 62583 pairs
Thread 5 evaluated 74185 pairs
Thread 2 evaluated 99970 pairs
Thread 10 evaluated 65311 pairs
Thread 3 evaluated 87982 pairs
Thread 11 evaluated 95780 pairs
Thread 6 evaluated 84292 pairs
Thread 9 evaluated 77400 pairs
Thread 1 evaluated 62582 pairs
Thread 4 evaluated 80803 pairs
Thread 7 evaluated 68158 pairs
Thread 0 evaluated 71123 pairs
Thread 8 evaluated 91825 pairs
Thread 10 evaluated 65310 pairs
Thread 1 evaluated 62581 pairs
Thread 9 evaluated 77399 pairs
Thread 11 evaluated 95779 pairs
Thread 6 evaluated 84291 pairs
Thread 7 evaluated 68157 pairs
Thread 4 evaluated 80802 pairs
Thread 0 evaluated 71122 pairs
Thread 8 evaluated 91824 pairs
Thread 1 evaluated 62580 pairs
Thread 10 evaluated 65309 pairs
Thread 9 evaluated 77398 pairs
Thread 11 evaluated 95778 pairs
Thread 6 evaluated 84290 pairs
Thread 7 evaluated 68156 pairs
Thread 0 evaluated 71121 pairs
Thread 1 evaluated 62579 pairs
Thread 4 evaluated 80801 pairs
Thread 10 evaluated 65308 pairs
Thread 8 evaluated 91823 pairs
Thread 9 evaluated 77397 pairs
Thread 7 evaluated 68155 pairs
Thread 1 evaluated 62578 pairs
Thread 0 evaluated 71120 pairs
Thread 11 evaluated 95777 pairs
Thread 6 evaluated 84289 pairs
Thread 4 evaluated 80800 pairs
Thread 10 evaluated 65307 pairs
Thread 9 evaluated 77396 pairs
Thread 8 evaluated 91822 pairs
Thread 1 evaluated 62577 pairs
Thread 7 evaluated 68154 pairs
Thread 0 evaluated 71119 pairs
Thread 6 evaluated 84288 pairs
Thread 11 evaluated 95776 pairs
Thread 4 evaluated 80799 pairs
Thread 10 evaluated 65306 pairs
Thread 1 evaluated 62576 pairs
Thread 9 evaluated 77395 pairs
Thread 7 evaluated 68153 pairs
Thread 8 evaluated 91821 pairs
Thread 0 evaluated 71118 pairs
Thread 1 evaluated 62575 pairs
Thread 6 evaluated 84287 pairs
Thread 4 evaluated 80798 pairs
Thread 10 evaluated 65305 pairs
Thread 11 evaluated 95775 pairs
Thread 9 evaluated 77394 pairs
Thread 7 evaluated 68152 pairs
Thread 8 evaluated 91820 pairs
Thread 0 evaluated 71117 pairs
Thread 1 evaluated 62574 pairs
Thread 6 evaluated 84286 pairs
Thread 9 evaluated 77393 pairs
Thread 10 evaluated 65304 pairs
Thread 4 evaluated 80797 pairs
Thread 7 evaluated 68151 pairs
Thread 11 evaluated 95774 pairs
Thread 1 evaluated 62573 pairs
Thread 0 evaluated 71116 pairs
Thread 8 evaluated 91819 pairs
Thread 9 evaluated 77392 pairs
Thread 7 evaluated 68150 pairs
Thread 10 evaluated 65303 pairs
Thread 4 evaluated 80796 pairs
Thread 6 evaluated 84285 pairs
Thread 1 evaluated 62572 pairs
Thread 0 evaluated 71115 pairs
Thread 11 evaluated 95773 pairs
Thread 8 evaluated 91818 pairs
Thread 7 evaluated 68149 pairs
Thread 1 evaluated 62571 pairs
Thread 9 evaluated 77391 pairs
Thread 10 evaluated 65302 pairs
Thread 4 evaluated 80795 pairs
Thread 6 evaluated 84284 pairs
Thread 0 evaluated 71114 pairs
Thread 11 evaluated 95772 pairs
Thread 1 evaluated 62570 pairs
Thread 7 evaluated 68148 pairs
Thread 8 evaluated 91817 pairs
Thread 9 evaluated 77390 pairs
Thread 10 evaluated 65301 pairs
Thread 4 evaluated 80794 pairs
Thread 0 evaluated 71113 pairs
Thread 6 evaluated 84283 pairs
Thread 1 evaluated 62569 pairs
Thread 7 evaluated 68147 pairs
Thread 11 evaluated 95771 pairs
Thread 9 evaluated 77389 pairs
Thread 8 evaluated 91816 pairs
Thread 10 evaluated 65300 pairs
Thread 0 evaluated 71112 pairs
Thread 1 evaluated 62568 pairs
Thread 4 evaluated 80793 pairs
Thread 6 evaluated 84282 pairs
Thread 7 evaluated 68146 pairs
Thread 9 evaluated 77388 pairs
Thread 11 evaluated 95770 pairs
Thread 1 evaluated 62567 pairs
Thread 10 evaluated 65299 pairs
Thread 8 evaluated 91815 pairs
Thread 0 evaluated 71111 pairs
Thread 4 evaluated 80792 pairs
Thread 7 evaluated 68145 pairs
Thread 6 evaluated 84281 pairs
Thread 9 evaluated 77387 pairs
Thread 1 evaluated 62566 pairs
Thread 10 evaluated 65298 pairs
Thread 0 evaluated 71110 pairs
Thread 11 evaluated 95769 pairs
Thread 8 evaluated 91814 pairs
Thread 7 evaluated 68144 pairs
Thread 4 evaluated 80791 pairs
Thread 1 evaluated 62565 pairs
Thread 6 evaluated 84280 pairs
Thread 9 evaluated 77386 pairs
Thread 10 evaluated 65297 pairs
Thread 0 evaluated 71109 pairs
Thread 11 evaluated 95768 pairs
Thread 7 evaluated 68143 pairs
Thread 1 evaluated 62564 pairs
Thread 8 evaluated 91813 pairs
Thread 4 evaluated 80790 pairs
Thread 9 evaluated 77385 pairs
Thread 6 evaluated 84279 pairs
Thread 0 evaluated 71108 pairs
Thread 10 evaluated 65296 pairs
Thread 1 evaluated 62563 pairs
Thread 5 evaluated 74184 pairs
Thread 11 evaluated 95767 pairs
Thread 4 evaluated 80789 pairs
Thread 9 evaluated 77384 pairs
Thread 3 evaluated 87981 pairs
Thread 2 evaluated 99969 pairs
Thread 6 evaluated 84278 pairs
Thread 1 evaluated 62562 pairs
Thread 10 evaluated 65295 pairs
Thread 5 evaluated 74183 pairs
Thread 9 evaluated 77383 pairs
Thread 4 evaluated 80788 pairs
Thread 1 evaluated 62561 pairs
Thread 11 evaluated 95766 pairs
Thread 3 evaluated 87980 pairs
Thread 6 evaluated 84277 pairs
Thread 10 evaluated 65294 pairs
Thread 5 evaluated 74182 pairs
Thread 2 evaluated 99968 pairs
Thread 1 evaluated 62560 pairs
Thread 9 evaluated 77382 pairs
Thread 4 evaluated 80787 pairs
Thread 11 evaluated 95765 pairs
Thread 10 evaluated 65293 pairs
Thread 5 evaluated 74181 pairs
Thread 3 evaluated 87979 pairs
Thread 6 evaluated 84276 pairs
Thread 1 evaluated 62559 pairs
Thread 9 evaluated 77381 pairs
Thread 2 evaluated 99967 pairs
Thread 10 evaluated 65292 pairs
Thread 4 evaluated 80786 pairs
Thread 5 evaluated 74180 pairs
Thread 1 evaluated 62558 pairs
Thread 11 evaluated 95764 pairs
Thread 6 evaluated 84275 pairs
Thread 3 evaluated 87978 pairs
Thread 9 evaluated 77380 pairs
Thread 10 evaluated 65291 pairs
Thread 2 evaluated 99966 pairs
Thread 1 evaluated 62557 pairs
Thread 4 evaluated 80785 pairs
Thread 5 evaluated 74179 pairs
Thread 11 evaluated 95763 pairs
Thread 10 evaluated 65290 pairs
Thread 6 evaluated 84274 pairs
Thread 9 evaluated 77379 pairs
Thread 3 evaluated 87977 pairs
Thread 1 evaluated 62556 pairs
Thread 5 evaluated 74178 pairs
Thread 4 evaluated 80784 pairs
Thread 10 evaluated 65289 pairs
Thread 2 evaluated 99965 pairs
Thread 9 evaluated 77378 pairs
Thread 1 evaluated 62555 pairs
Thread 6 evaluated 84273 pairs
Thread 11 evaluated 95762 pairs
Thread 3 evaluated 87976 pairs
Thread 5 evaluated 74177 pairs
Thread 10 evaluated 65288 pairs
Thread 4 evaluated 80783 pairs
Thread 1 evaluated 62554 pairs
Thread 9 evaluated 77377 pairs
Thread 2 evaluated 99964 pairs
Thread 6 evaluated 84272 pairs
Thread 5 evaluated 74176 pairs
Thread 11 evaluated 95761 pairs
Thread 10 evaluated 65287 pairs
Thread 3 evaluated 87975 pairs
Thread 1 evaluated 62553 pairs
Thread 4 evaluated 80782 pairs
Thread 9 evaluated 77376 pairs
Thread 10 evaluated 65286 pairs
Thread 5 evaluated 74175 pairs
Thread 6 evaluated 84271 pairs
Thread 1 evaluated 62552 pairs
Thread 2 evaluated 99963 pairs
Thread 11 evaluated 95760 pairs
Thread 3 evaluated 87974 pairs
Thread 4 evaluated 80781 pairs
Thread 9 evaluated 77375 pairs
Thread 10 evaluated 65285 pairs
Thread 5 evaluated 74174 pairs
Thread 1 evaluated 62551 pairs
Thread 6 evaluated 84270 pairs
Thread 11 evaluated 95759 pairs
Thread 3 evaluated 87973 pairs
Thread 10 evaluated 65284 pairs
Thread 9 evaluated 77374 pairs
Thread 2 evaluated 99962 pairs
Thread 4 evaluated 80780 pairs
Thread 1 evaluated 62550 pairs
Thread 5 evaluated 74173 pairs
Thread 6 evaluated 84269 pairs
Thread 10 evaluated 65283 pairs
Thread 1 evaluated 62549 pairs
Thread 9 evaluated 77373 pairs
Thread 11 evaluated 95758 pairs
Thread 3 evaluated 87972 pairs
Thread 5 evaluated 74172 pairs
Thread 4 evaluated 80779 pairs
Thread 2 evaluated 99961 pairs
Thread 10 evaluated 65282 pairs
Thread 1 evaluated 62548 pairs
Thread 6 evaluated 84268 pairs
Thread 9 evaluated 77372 pairs
Thread 5 evaluated 74171 pairs
Thread 4 evaluated 80778 pairs
Thread 11 evaluated 95757 pairs
Thread 3 evaluated 87971 pairs
Thread 10 evaluated 65281 pairs
Thread 1 evaluated 62547 pairs
Thread 2 evaluated 99960 pairs
Thread 9 evaluated 77371 pairs
Thread 5 evaluated 74170 pairs
Thread 6 evaluated 84267 pairs
Thread 10 evaluated 65280 pairs
Thread 1 evaluated 62546 pairs
Thread 4 evaluated 80777 pairs
Thread 3 evaluated 87970 pairs
Thread 11 evaluated 95756 pairs
Thread 9 evaluated 77370 pairs
Thread 5 evaluated 74169 pairs
Thread 10 evaluated 65279 pairs
Thread 1 evaluated 62545 pairs
Thread 2 evaluated 99959 pairs
Thread 6 evaluated 84266 pairs
Thread 4 evaluated 80776 pairs
Thread 3 evaluated 87969 pairs
Thread 11 evaluated 95755 pairs
Thread 9 evaluated 77369 pairs
Thread 10 evaluated 65278 pairs
Thread 5 evaluated 74168 pairs
Thread 1 evaluated 62544 pairs
Thread 6 evaluated 84265 pairs
Thread 2 evaluated 99958 pairs
Thread 4 evaluated 80775 pairs
Thread 1 evaluated 62543 pairs
Thread 10 evaluated 65277 pairs
Thread 5 evaluated 74167 pairs
Thread 9 evaluated 77368 pairs
Thread 3 evaluated 87968 pairs
Thread 11 evaluated 95754 pairs
Thread 6 evaluated 84264 pairs
Thread 1 evaluated 62542 pairs
Thread 10 evaluated 65276 pairs
Thread 4 evaluated 80774 pairs
Thread 5 evaluated 74166 pairs
Thread 9 evaluated 77367 pairs
Thread 2 evaluated 99957 pairs
Thread 3 evaluated 87967 pairs
Thread 11 evaluated 95753 pairs
Thread 1 evaluated 62541 pairs
Thread 10 evaluated 65275 pairs
Thread 6 evaluated 84263 pairs
Thread 5 evaluated 74165 pairs
Thread 4 evaluated 80773 pairs
Thread 9 evaluated 77366 pairs
Thread 1 evaluated 62540 pairs
Thread 10 evaluated 65274 pairs
Thread 2 evaluated 99956 pairs
Thread 3 evaluated 87966 pairs
Thread 11 evaluated 95752 pairs
Thread 5 evaluated 74164 pairs
Thread 6 evaluated 84262 pairs
Thread 9 evaluated 77365 pairs
Thread 4 evaluated 80772 pairs
Thread 1 evaluated 62539 pairs
Thread 10 evaluated 65273 pairs
Thread 3 evaluated 87965 pairs
Thread 2 evaluated 99955 pairs
Thread 5 evaluated 74163 pairs
Thread 11 evaluated 95751 pairs
Thread 1 evaluated 62538 pairs
Thread 9 evaluated 77364 pairs
Thread 10 evaluated 65272 pairs
Thread 4 evaluated 80771 pairs
Thread 6 evaluated 84261 pairs
Thread 1 evaluated 62537 pairs
Thread 5 evaluated 74162 pairs
Thread 10 evaluated 65271 pairs
Thread 9 evaluated 77363 pairs
Thread 3 evaluated 87964 pairs
Thread 11 evaluated 95750 pairs
Thread 2 evaluated 99954 pairs
Thread 4 evaluated 80770 pairs
Thread 6 evaluated 84260 pairs
